id,name,price,pages,author_id,publisher_id,content,img,category_id,dayopt,language,description,priority,bookActive,isbn,ratedusers,rating,publishdate,author,publisher,cat,catmodel,taglink_id,tag_id_x,tag_id_y,tag
81,A Study in Scarlet ,0.0,92,53,18,media/epubs/53.epub,media/bookimages/53.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">&nbsp;Sir Arthur Conan Doyle's ""A Study in Scarlet"" marks the first appearance of Sherlock Holmes. At the outset of the story, we encounter Sherlock Holmes' sidekick Dr. Watson who has just returned to London from the Second Anglo-Afghan war where he had sustained a shoulder injury which has forced him to leave the army and is now in search of a place to live. He learns from an acquaintance of the availability of a flat for which the current prospective occupant is looking for a roommate to split the rent. The flat is 221B Baker Street, the current prospective occupant, Sherlock Holmes. Upon meeting Sherlock, Watson quickly learns that Mr. Holmes is a consulting detective and gets swept up in the mystery of a fresh murder case being investigated by Scotland Yard. The two investigate an abandoned house off the Brixton Road where a body is found in a blood-stained room with the word ""rache,"" German for ""revenge"" scrawled on the wall in blood. What follows is a tale of love and revenge which would launch the literary career of Sir Arthur Conan Doyle and the franchise of what may be arguably the world's most famous literary detective. This edition is printed on premium acid-free paper.</span><br></p>",7,bookActive,,0,0.0,1995-04-01,Arthur Conan Doyle,None,"Fiction, Literature & Novels",3month,"[21, 58, 65]","[21, 58, 65]","[21, 58, 65]","['Holmes, Sherlock', 'Detective and mystery stories', 'Private investigators ']"
109,The Sign of the Four ,0.0,200,53,18,media/epubs/81.epub,media/bookimages/81.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">As a dense yellow fog swirls through the streets of London, a deep melancholy has descended on Sherlock Holmes, who sits in a cocaine-induced haze at 221B Baker Street. His mood is only lifted by a visit from a beautiful but distressed young woman - Mary Morstan, whose father vanished ten years before. Four years later she began to receive an exquisite gift every year: a large, lustrous pearl. Now she has had an intriguing invitation to meet her unknown benefactor and urges Holmes and Watson to accompany her. And in the ensuing investigation - which involves a wronged woman, a stolen hoard of Indian treasure, a wooden-legged ruffian, a helpful dog and a love affair - even the jaded Holmes is moved to exclaim, 'Isn't it gorgeous!'</span><br></p>",7,bookActive,,0,0.0,2000-03-01,Arthur Conan Doyle,None,"Fiction, Literature & Novels",3month,"[21, 22, 65]","[21, 22, 65]","[21, 22, 65]","['Holmes, Sherlock', 'Detective and mystery stories', 'Private investigators ']"
79,Uncle Tom's Cabin,0.0,280,54,18,media/epubs/51.epub,media/bookimages/51.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Having run up large debts, Arthur Shelby, a Kentucky farmer, is on the verge of losing everything he owns. In this desperate hour, he decides to sell two of his slaves to raise money, despite his family having affectionate relationships with those two, to Mr. Haley, a coarse slave trader. The slaves in question are Uncle Tom, a middle-aged man, and Harry, the young son of Mrs. Shelby’s maid, Eliza. When Mrs. Shelby finds out about the arrangement, she is appalled because she has promised Eliza that her son would not be sold under any circumstances.</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Harriet Beecher Stowe’s ground-breaking novel was first published in 1852. It was meant as an outcry against slavery. Her book speaks volumes about the inhumane treatment and racist misperceptions that was meted out to thousands of slaves at the time. On its publication, the book was an immediate bestseller and was second only to the Bible.</span><br></p>",7,bookActive,,0,0.0,2006-01-13,Harriet Beecher Stowe,None,"Fiction, Literature & Novels",3month,"[26, 56, 66]","[26, 56, 66]","[26, 56, 66]","['Political', 'Didactic fiction', 'Slavery']"
80,Les Misérables ,0.0,240,56,18,media/epubs/52.epub,media/bookimages/52.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">He was no longer Jean Valjean, but No. 24601. ’In Les Misérables, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil and carries them to the barricades during the uprising of 1832, with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of the peasant Jean Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue Thénardier and the universal desire to escape the prisons of our own minds. Les Misérables is an extravagant spectacle that dazzles the senses even as it touches the heart.</span><br></p>",7,bookActive,,0,0.0,2008-01-22,Victor Hugo,None,"Fiction, Literature & Novels",3month,"[10, 67]","[10, 67]","[10, 67]","['Historical fiction', 'Romance ']"
82,Candide ,0.0,46,57,18,media/epubs/54.epub,media/bookimages/54.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p style=""margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><strong>Unabridged</strong>&nbsp;English value reproduction of&nbsp;<strong><em>Candide</em></strong>&nbsp;by Voltaire is a book that belongs on the shelf of those desiring to contemplate life.&nbsp;<em>Voltaire subtly challenges the reader's complacent view of the world through extreme, and often gruesome, exaggeration.</em></p><p style=""margin-top: -4px; margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Written in 1759, it tells the story of Candide, who gets kicked out of the castle, forced to serve on a boat, shipwrecked, robbed, tortured, and on and on, without losing his desire to continue forward in life.</p>",8,bookActive,,0,0.0,2006-11-27,Voltaire,None,"Fiction, Literature & Novels",3month,"[52, 67, 68]","[52, 67, 68]","[52, 67, 68]","['Short Story', 'Romance ', 'Optimism']"
83,Thus Spake Zarathustra: A Book for All and None,0.0,298,58,18,media/epubs/55.epub,media/bookimages/55.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">In this masterpiece of philosophical literature, Friedrich Nietzsche utters the famous phrase ""God is dead!"" This powerful book spells out Nietzsche's belief in the will to power and serves as an introduction to his doctrine of eternal return. One of the most influential books of philosophy ever written. Nietzsche writes with style, power, and conviction.</span><br></p>",8,bookActive,,0,0.0,1999-12-01,Friedrich Wilhelm Nietzsche,None,"Fiction, Literature & Novels",3month,"[15, 27, 53]","[15, 27, 53]","[15, 27, 53]","['Psychological fiction', 'Religious', 'Philosophy ']"
93,Beyond Good and Evil ,0.0,240,58,18,media/epubs/65.epub,media/bookimages/65.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p style=""margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Beyond Good And Evil, originally published in 1886, is a book in which the author shows the weaknesses in the moral premises and prejudices of philosophers.</p><p style=""margin-top: -4px; margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">In Beyond Good And Evil, Nietzsche says that the opposite of good is not evil, rather it is a different form of expression belonging to the same basic underlying impulses of human beings. Philosophers simply created a binary system, which is filled with assumptions and lacks critical sense. The author says that this is slave morality, and it is now time to leave this behind.</p><p style=""margin-top: -4px; margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Readers will see that with wit and energy, Nietzsche manages to turn his philosophy into something that celebrates originality, imagination, and self assertion. His theory of will to power is said to be the fundamental drive in the universe. In this book, readers will be able to understand that there is no such thing as universal morality. Nietzsche states that it is time to free yourselves from the prejudices that others have imposed on you.</p><p style=""margin-top: -4px; margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Beyond Good And Evil has 296 numbered sections, which are divided into nine parts. Some of these are Maxims and Interludes, The Free Spirit, Peoples and Fatherlands, and We Scholars. This edition contains introductions by Michael Tanner and R J Hollingdale, who is also the translator. The last pages of this book contain a poem.</p>",7,bookActive,,0,0.0,2003-08-01,Friedrich Wilhelm Nietzsche,None,"Fiction, Literature & Novels",3month,"[15, 27, 53]","[15, 27, 53]","[15, 27, 53]","['Psychological fiction', 'Religious', 'Philosophy ']"
86,The Federalist Papers ,0.0,688,61,18,media/epubs/58.epub,media/bookimages/58.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;"">Written by Alexander Hamilton, James Madison, and John Jay,&nbsp;</span><i style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;"">The Federalist Papers</i><span style=""color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;"">&nbsp;explain the complexities of a constitutional government—its political structure and principles based on the inherent rights of man. Scholars have long regarded this work as a milestone in political science and a classic of American political theory.</span><br></p>",6,bookActive,,0,0.0,1998-07-01,"Alexander Hamilton, John Jay, and James Madison",None,"Fiction, Literature & Novels",3month,"[10, 26]","[10, 26]","[10, 26]","['Historical fiction', 'Political']"
87,The Complete Works of William Shakespeare ,0.0,1280,62,18,media/epubs/59.epub,media/bookimages/59.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">William Shakespeare (1564-1616) is acknowledged as the greatest dramatist of all time. He excels in plot, poetry, and wit, and his talent encompasses the great tragedies of Hamlet, King Lear, Othello and Macbeth as well as the moving history plays and the comedies such as A Midsummer Night's Dream, The Taming of the Shrew and As You Like It with their magical combination of humour, ribaldry and tenderness. This volume is a reprint of the Shakespeare Head Press edition, and it presents all the plays in chronological order in which they were written. It also includes Shakespeare's Sonnets, as well as his longer poems Venus and Adonis and The Rape of Lucrece.</span><br></p>",7,bookActive,,0,0.0,1994-01-01,William Shakespeare,None,"Fiction, Literature & Novels",3month,"[25, 34]","[25, 34]","[25, 34]","['Drama', 'Fiction']"
88,Pygmalion ,0.0,148,63,18,media/epubs/60.epub,media/bookimages/60.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Henry Higgins, a phonetician, agrees to coach and groom Eliza Doolittle, a Cockney flower girl and transform her into a socially acceptable person, no less than a duchess. But in the process, he begins to admire her. and where this leads is both hilarious and amusing.&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">“I sold flowers. I didn’t sell myself.&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Now you’ve made a lady of me I’m not&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">fit to sell anything else.”</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A stinging satire on the British class system, George Bernard Shaw’s Pygmalion, with its true-to-life characters, was a sensational success which went on to become one of his most popular plays.&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Having undergone various adaptations, the most widely known being the American musical My Fair Lady, the play continues to tug at the heartstrings of its audiences even more than a century after its first performance.</span><br></p>",6,bookActive,,0,0.0,2003-03-01,Bernard Shaw,None,"Fiction, Literature & Novels",3month,"[24, 25, 57]","[24, 25, 57]","[24, 25, 57]","['Comedies', 'Drama', 'Social life']"
90,Le Morte d'Arthur: Volume 1,0.0,900,64,18,media/epubs/62.epub,media/bookimages/62.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">An immortal story of love, adventure, chivalry, treachery and death.</span><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Edited and first published by William Caxton in 1485, Le Morte D'Arthur is Sir Thomas Malory's unique and splendid version of the Arthurian legend. Mordred's treason, the knightly exploits of Tristan, Lancelot's fatally divided loyalties and his love for Guenever, the quest for the Holy Grail; all the elements are there woven into a wonderful completeness by the magic of his prose style.</span><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">The result is not only one of the most readable accounts of the Knights of the Round Table but also one of the most moving. As the story advances towards the inevitable tragedy of Arthur's death the effect is cumulative, rising with an impending sense of doom and tragedy towards its shattering finale.</span><br></p>",7,bookActive,,0,0.0,1998-03-01,Sir Thomas Malory,None,"Fiction, Literature & Novels",3month,"[6, 16, 67]","[6, 16, 67]","[6, 16, 67]","['Love stories', 'Adventure stories', 'Romance ']"
91,The Tragical History of Doctor Faustus ,0.0,76,65,18,media/epubs/63.epub,media/bookimages/63.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><br></p><p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Marlowe was an English poet, dramatist, and translator in the Elizabethian period. Faust is the famous story of a man selling his soul to the devil for power and knowledge. On a deeper level, man's decay from choosing material things over the spiritual is depicted.</span><br></p>",6,bookActive,,0,0.0,1997-01-01,Christopher Marlowe,None,"Fiction, Literature & Novels",3month,"[10, 25]","[10, 25]","[10, 25]","['Historical fiction', 'Drama']"
92,On Liberty,0.0,109,66,18,media/epubs/64.epub,media/bookimages/64.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">'Over himself, over his own body and mind, the individual is sovereign.' To this 'one very simple principle' the whole of Mill's essay On Liberty is dedicated. While many of his immediate predecessors and contemporaries, from Adam Smith to Godwin and Thoreau, had celebrated liberty, it was Mill who organized the idea into a philosophy and put it into the form in which it is generally known today.&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">The editor of this essay, Gertrude Himmelfarb records responses to Mill's books and comments on his fear of 'the tyranny of the majority'. Dr. Himmelfarb concludes that the same inconsistencies which underlie On Liberty continue to complicate the moral and political stance of liberals today.</span><br></p>",6,bookActive,,0,0.0,2011-01-10,John Stuart Mill,None,"Fiction, Literature & Novels",3month,"[26, 70]","[26, 70]","[26, 70]","['Political', 'Liberty ']"
96,Second Treatise of Government by John Locke,0.0,82,68,18,media/epubs/68.epub,media/bookimages/68.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><b style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">Locke</b><span style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">&nbsp;proceeds through Filmer's arguments, contesting his proofs from Scripture and ridiculing them as senseless until concluding that no&nbsp;</span><b style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">government</b><span style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">&nbsp;can be justified by an appeal to the divine right of kings. The&nbsp;</span><b style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">Second Treatise</b><span style=""color: rgb(34, 34, 34); font-family: arial, sans-serif; font-size: 16px;"">&nbsp;outlines a theory of civil society.</span><br></p>",6,bookActive,,0,0.0,2005-01-01,John Locke,None,"Fiction, Literature & Novels",3month,"[26, 41]","[26, 41]","[26, 41]","['Political', 'Political science']"
97,Anne of Green Gables by L. M. Montgomery,0.0,496,69,18,media/epubs/69.epub,media/bookimages/69.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">It's a million times nicer to be Anne of Green Gables than Anne of nowhere in particular, isn't it?' My dislikes: Being an orphan, having red hair, being called 'carrots' by Gilbert Blythe. My likes, Living at the Green Gables with Marilla and Matthew, my bosom-friend Diana, dresses with puff sleeves. My regrets, Dying my hair green. Smashing a slate over Gilbert Blythe's head. My dream: To tame my temper. To be good (this is an uphill struggle). To grow up to have auburn hair. Includes exclusive material: In the Backstory, you can find out about the real Green Gables, the plucky author and more. Vintage Children's Classics is a twenty-first-century classics list aimed at 8-12-year-olds and the adults in their lives. Discover timeless favorites from Peter Pan and Alice's Adventures in Wonderland to modern classics such as The Boy in the Striped Pyjamas and The Curious Incident of the Dog in the Night-Time.</span><br></p>",7,bookActive,,0,0.0,2008-06-27,L. M. Montgomery,None,"Fiction, Literature & Novels",3month,"[5, 10, 72]","[5, 10, 72]","[5, 10, 72]","['Young women -- Fiction', 'Historical fiction', 'Friendship']"
98,Sense and Sensibility ,0.0,392,11,18,media/epubs/70.epub,media/bookimages/70.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Elinor and Marianne Dashwood are sisters with opposing temperaments – Elinor is prudent, rational and responsible; Marianne is passionate, excitable and emotional. When Marianne is abandoned by an unscrupulous suitor, she is disconsolate, driving herself to a serious illness. Elinor, meanwhile, is dealing with her own betrayal but is stoic, refusing to reveal her emotions to even those closest to her. The sisters must navigate the misery of heartbreak in a society where status and money determine the outcomes of love and marriage. And to find happiness, they must learn to accept that both sense and sensibility are intertwined.</span><br></p>",7,bookActive,,0,0.0,1994-09-01,Jane Austen,None,"Fiction, Literature & Novels",3month,"[5, 6, 57]","[5, 6, 57]","[5, 6, 57]","['Young women -- Fiction', 'Love stories', 'Social life']"
117,Persuasion ,0.0,272,11,18,media/epubs/89.epub,media/bookimages/89.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">In Persuasion, Jane Austen's last completed novel, the conventional roles of hero and heroine are reversed and men and women are presented as moral equals. Ann Elliot, a young woman of breeding, leading a Cinderella-like existence with her father and imperious sister frees herself from familial authority through her relationships with other strong women and achieves personal fulfillment.</span><br></p>",7,bookActive,,0,0.0,1994-02-01,Jane Austen,None,"Fiction, Literature & Novels",3month,"[5, 6, 15, 67]","[5, 6, 15, 67]","[5, 6, 15, 67]","['Young women -- Fiction', 'Love stories', 'Psychological fiction', 'Romance ']"
127,Northanger Abbey ,0.0,208,11,18,media/epubs/99.epub,media/bookimages/99.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<h1 itemprop=""name"" style=""text-align: center; font-size: 20px; margin-top: 1em; margin-bottom: 1em; color: rgb(0, 0, 0); font-family: &quot;Times New Roman&quot;;"">Northanger Abbey was Austen’s first completed novel, but it remained unpublished until after her death. The seventeen-year-old heroine, Catherine Morland, has a fanciful imagination and a fondness<br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;"">for Gothic novels. Naive and oblivious to the true nature of the world, she encounters love and heartbreak on her journey to adulthood.</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;"">Lighter in tone than Austen’s later works, the novel parodies the hugely popular Gothic works of the period. It has been adapted into several film, television and theatre productions, and has even been</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif; font-size: 14px; text-align: start;"">reimagined as a teen thriller under The Austen Project by Scottish crime writer Val McDermid.</span><br></h1>",7,bookActive,,0,0.0,1994-04-01,Jane Austen,None,"Fiction, Literature & Novels",3month,"[5, 6, 13, 67]","[5, 6, 13, 67]","[5, 6, 13, 67]","['Young women -- Fiction', 'Love stories', 'Horror tales', 'Romance ']"
99,The Communist Manifesto,0.0,200,70,18,media/epubs/71.epub,media/bookimages/71.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">On the occasion of Karl Marx's 200th birth anniversary, here is an authoritative edition of The Communist Manifesto 'Apart from Charles Darwin's Origin of Species,' notes the Los Angeles Times, The Communist Manifesto 'is arguably the most important work of nonfiction written in the 19th century.' The Washington Post calls Marx 'an astute critic of capitalism.' Writing in The NewYork Times, Columbia University Professor Steven Marcus describes the Manifesto as a 'masterpiece' with 'enduring insights into social existence.'Since it was first written in 1848, the Manifesto by Marx and Engels has been translated into more languages than any other modern text. It has been banned, censored, burned and declared 'dead'. But year after year, the text only grows more influential and more relevant and is required reading in courses on philosophy, politics, economics, and history. In this extensively researched edition, renowned Marxist scholar Phil Gasper provides an authoritative introduction to history's most important political document, with the full text of the Manifesto. Thoughtfully presented in a reader-friendly format, it is fully annotated, with clear historical references and explanations, additional related texts, and a glossary that will bring the text to life for students as well as the general reader. The NewYorker recently described Karl Marx as 'The Next Thinker' for our era. This book shows readers why.</span><br></p>",7,bookActive,,0,0.0,2005-01-20,Friedrich Engels and Karl Marx,None,"Fiction, Literature & Novels",3month,"[57, 73]","[57, 73]","[57, 73]","['Social life', 'Communism']"
100,The Turn of the Screw ,0.0,216,71,18,media/epubs/72.epub,media/bookimages/72.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A young, inexperienced governess is charged with the care of Miles and Flora, two small children are given into her charge by their uncle at his grand country house. The Turn of the Screw is probably the most famous, certainly the most eerily equivocal, of all ghostly tales. Is it a subtle, self-conscious exploration of the haunted house of Victorian culture, filled with echoes of sexual and social unease? Or is it simply 'the most hopelessly evil story that we have ever read'? Owen Wingrove is a story of the son of a long line of military heroes who refuse to follow tradition, yet proves his bravery in a haunted room.</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""></p>",7,bookActive,,0,0.0,1995-02-01,Henry James,None,"Fiction, Literature & Novels",3month,"[13, 15, 17, 9]","[13, 15, 17, 9]","[13, 15, 17, 9]","['Horror tales', 'Psychological fiction', ""Children's stories"", 'Ghost stories']"
101,The Time Machine ,0.0,120,72,18,media/epubs/73.epub,media/bookimages/73.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">The year is 802, 701. The planet is Earth. only teo races of people noe exist- the Morlocks and the Eloi.</span><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><br style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">H.G. Wells</span><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">&nbsp;(1866-1946) was a novelist, journalist, sociologist and historian, best-known for his science fiction novels. His first attempt at fiction writing was merely imitative, but he eventually set himself up as a freelance writer. Possessor of a lively and humorous style and the exponent in the fiction of the relatively new subject of science, his scientific fantasies were hugely popular. Some of his successful novels are&nbsp;</span><i style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">The Time Machine, The Invisible Man</i><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">, and&nbsp;</span><i style=""margin: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">The War of the Worlds</i><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">. Beneath his inventiveness lies a passionate concern for humanity and society. With time, however, his works grew less optimistic and even bitter.</span><br></p>",8,bookActive,,0,0.0,2004-10-02,H. G. Wells,None,"Fiction, Literature & Novels",3month,"[12, 16, 74]","[12, 16, 74]","[12, 16, 74]","['Science fiction', 'Adventure stories', 'Time travel']"
105,The War of the Worlds,0.0,216,72,18,media/epubs/77.epub,media/bookimages/77.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">On a summer night, at the end of the nineteenth century, a “meteor” lands on Horsell Common in London. an artificial cylinder is found the next day and upon approaching it, the unsuspecting humans are instantly killed by an all-destroying heat ray, as terrifying Martians emerge and blaze a path of fiery destruction across Victorian England. Amid the boundless destruction that is caused, it looks as if the end of the world has come.</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">The War of the Worlds is one of the earliest science-fiction that explores the possibilities of intelligent life from other planets and details a conflict between humankind and an extraterrestrial race.. this novel vividly describes the mass hysteria such an invasion would stimulate and shows how unprepared our civilization is for the onslaught of forces from another world.</span><br></p>",8,bookActive,,0,0.0,2004-10-01,H. G. Wells,None,"Fiction, Literature & Novels",3month,"[11, 12]","[11, 12]","[11, 12]","['War stories', 'Science fiction']"
